"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_LBL_EXPORT_RAW","Export Raw","Export Raw","Export Raw","Export Raw","Экспорт необр.","Export Raw","Export Raw","Export Raw","Export Raw","Exporter en Brut","Export Raw","Export Raw","Export Raw","导出"
"VSTR_LBL_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"VSTR_BUILDING_ATTS","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","ПАРАМЕТРЫ СТРОИТЕЛЬСТВА","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","ATTRIBUTS DE CONSTRUCTION","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","建筑属性"
"VSTR_LBL_BLD_SET_ACTIVE_S","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Включить (спавн при рестарте)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Activer (Générer lorsqu'il est actif)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","设置活动（当设置活动时生成它）"
"VSTR_BUILDING_MANAGER_TITLE	OBJECT","MANAGER","MANAGER","MANAGER","MANAGER","МЕНЕДЖЕР ОБЪЕКТОВ","MANAGER","MANAGER","MANAGER","MANAGER","GESTIONNAIRE D'OBJETS","MANAGER","MANAGER","MANAGER","管理者"
"VSTR_LBL_NEW_OBJ_ATT","New Object Attributes","New Object Attributes","New Object Attributes","New Object Attributes","Новые параметры объекта","New Object Attributes","New Object Attributes","New Object Attributes","New Object Attributes","Nouveaux Attributs d'Objet","New Object Attributes","New Object Attributes","New Object Attributes","新对象属性"
"VSTR_LBL_SEARCH_KEYWORD","Search Keyword","Search Keyword","Search Keyword","Search Keyword","Поиск...","Search Keyword","Search Keyword","Search Keyword","Search Keyword","Mot-Clé de Recherche","Search Keyword","Search Keyword","Search Keyword","搜索关键字"
"VSTR_LBL_HELP","Help","Help","Help","Help","Помощь","Help","Help","Help","Help","Aide","Help","Help","Help","帮助"
"VSTR_LBL_OPTIONS","Options","Options","Options","Options","Настройки","Options","Options","Options","Options","Options","Options","Options","Options","选项"
"VSTR_LBL_FREE_CAM","Free Camera","Free Camera","Free Camera","Free Camera","Свободная Камера","Free Camera","Free Camera","Free Camera","Free Camera","Caméra Libre","Free Camera","Free Camera","Free Camera","自由视角"
"VSTR_LBL_TOP_DOWN_VIEW","Top Down View","Top Down View","Top Down View","Top Down View","Вид сверху","Top Down View","Top Down View","Top Down View","Top Down View","Vue de Haut en Bas","Top Down View","Top Down View","Top Down View","俯视图"
"VSTR_LBL_FOV","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","Champs de Vision :","FoV:","FoV:","FoV:","视场:"
"VSTR_LBL_SNAP_ON_MOVE","Snap To Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","Привязка к рельефу","Snap To Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","Accrocher au Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","捕捉地形"
"VSTR_ENABLE_OBJ_SNAP","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Привязка к поверхностям","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Accrocher aux Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","捕捉曲面"
"VSTR_LBL_BUILDING_SETS","Building Sets","Building Sets","Building Sets","Building Sets","Строительные Наборы","Building Sets","Building Sets","Building Sets","Building Sets","Ensembles de Construction","Building Sets","Building Sets","Building Sets","建筑集"
"VSTR_LBL_CREATE_NEW_BUILD_SET","Create New Building Set","Create New Building Set","Create New Building Set","Create New Building Set","Создать новый строительный набор","Create New Building Set","Create New Building Set","Create New Building Set","Create New Building Set","Créer un Nouvel Ensemble de Construction","Create New Building Set","Create New Building Set","Create New Building Set","创建新的建筑集"
"VSTR_LBL_SAVE_EDITS","Save Edits","Save Edits","Save Edits","Save Edits","Сохранить изменения","Save Edits","Save Edits","Save Edits","Save Edits","Sauvegarder les Modifications","Save Edits","Save Edits","Save Edits","保存编辑"
"VSTR_PERMISSIONS_MANAGER_TITLE","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","РЕДАКТОР ПРАВ","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","ÉDITEUR DE PERMISSIONS","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","权限编辑器"
"VSTR_LBL_AVA_PERMS","Available Permissions","Available Permissions","Available Permissions","Available Permissions","Доступные права","Available Permissions","Available Permissions","Available Permissions","Available Permissions","Permissions Disponibles","Available Permissions","Available Permissions","Available Permissions","可用权限"
"VSTR_LBL_USER_GROUPS","User Groups","User Groups","User Groups","User Groups","Группы пользователей","User Groups","User Groups","User Groups","User Groups","Groupes d'Utilisateurs","User Groups","User Groups","User Groups","用户组"
"VSTR_LBL_ADD_MEMEBER","Add Member(s)","Add Member(s)","Add Member(s)","Add Member(s)","Добавить","Add Member(s)","Add Member(s)","Add Member(s)","Add Member(s)","Ajouter Membre(s)","Add Member(s)","Add Member(s)","Add Member(s)","添加成员"
"VSTR_LBL_UPDATE_PERMISSIONS","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Обновить","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Mettre à Jour les Permissions","Update Permissions","Update Permissions","Update Permissions","更新权限"
"VSTR_LBL_CREATE_GROUP","Create Group","Create Group","Create Group","Create Group","Создать","Create Group","Create Group","Create Group","Create Group","Créer un Groupe","Create Group","Create Group","Create Group","创建组"
"VSTR_LBL_DELETE_GROUP","Delete Group","Delete Group","Delete Group","Delete Group","Удалить","Delete Group","Delete Group","Delete Group","Delete Group","Supprimer un Groupe","Delete Group","Delete Group","Delete Group","删除组"
"VSTR_LBL_UPDATE_GROUP_ATTS","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","ПАРАМЕТРЫ ГРУППЫ","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","ATTRIBUTS DU GROUPE D'UTILISATEURS","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","用户组属性"
"VSTR_LBL_GROUP_NAME_FORCE","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: пользователи в группе не смогут использовать админку, если их игровое имя не совпадает с именем, сохраненным в группе.","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Forcer le Nom] : Les utilisateurs du groupe ne pourront pas utiliser les outils si leur nom en jeu ne correspond pas au nom enregistré dans le groupe","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[强制名称]：用户组内的用户如果游戏内名称与组内保存的名称不匹配，将无法使用该工具"
"VSTR_LBL_GROUP_NAME","Group Name:","Group Name:","Group Name:","Group Name:","Имя группы:","Group Name:","Group Name:","Group Name:","Group Name:","Nom du Groupe :","Group Name:","Group Name:","Group Name:","组名:"
"VSTR_LBL_GROUP_TOTAL_MEMBERS","Total Members:","Total Members:","Total Members:","Total Members:","Число участников:","Total Members:","Total Members:","Total Members:","Total Members:","Membres Total :","Total Members:","Total Members:","Total Members:","会员总数:"
"VSTR_LBL_GROUP_PERMS_LVL","Permission Level:","Permission Level:","Permission Level:","Permission Level:","Уровень доступа:","Permission Level:","Permission Level:","Permission Level:","Permission Level:","Niveau de Permission :","Permission Level:","Permission Level:","Permission Level:","权限级别:"
"VSTR_PLAYER_MANAGER_TITLE","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","УПРАВЛЕНИЕ ИГРОКАМИ","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","Gestionnaire de joueurs","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","玩家管理"
"VSTR_LBL_PLAYERS_LIST","Player List","Player List","Player List","Player List","Список игроков","Player List","Player List","Player List","Player List","Liste des Joueurs","Player List","Player List","Player List","玩家列表"
"VSTR_LBL_PLAYERS_DETAILS","Player Details","Player Details","Player Details","Player Details","Информация об игроке","Player Details","Player Details","Player Details","Player Details","Détails du Joueur","Player Details","Player Details","Player Details","玩家详情"
"VSTR_LBL_MODIFIERS","Modifiers","Modifiers","Modifiers","Modifiers","Показатели","Modifiers","Modifiers","Modifiers","Modifiers","Modificateurs","Modifiers","Modifiers","Modifiers","修改器"
"VSTR_LBL_HEAL_PLAYERS","HEAL","HEAL","HEAL","HEAL","ВЫЛЕЧИТЬ","HEAL","HEAL","HEAL","HEAL","Soigner","HEAL","HEAL","HEAL","治疗"
"VSTR_LBL_KILL_PLAYERS","KILL","KILL","KILL","KILL","УБИТЬ","KILL","KILL","KILL","KILL","Tuer","KILL","KILL","KILL","赐死"
"VSTR_LBL_TP_TO_ME","BRING","BRING","BRING","BRING","К СЕБЕ","BRING","BRING","BRING","BRING","TP à moi","BRING","BRING","BRING","传送玩家过来"
"VSTR_LBL_SEND_MESSAGE","Send Message","Send Message","Send Message","Send Message","Сообщение","Send Message","Send Message","Send Message","Send Message","Envoyer Msg","Send Message","Send Message","Send Message","发送消息"
"VSTR_LBL_TP_ME_TO","GOTO","GOTO","GOTO","GOTO","К НЕМУ","GOTO","GOTO","GOTO","GOTO","Se TP à","GOTO","GOTO","GOTO","传送到玩家"
"VSTR_LBL_KICK_PLAYERS","KICK","KICK","KICK","KICK","Выгнать","KICK","KICK","KICK","KICK","Expulser","KICK","KICK","KICK","踢出"
"VSTR_LBL_BAN_PLAYERS","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Забанить","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Bannir Joueur(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","封禁"
"VSTR_LBL_SPECTATE_PLAYER","SPECTATE","SPECTATE","SPECTATE","SPECTATE","НАБЛЮДАТЬ","SPECTATE","SPECTATE","SPECTATE","SPECTATE","Spectateur","SPECTATE","SPECTATE","SPECTATE","玩家视角"
"VSTR_LBL_MAKE_VOMIT","Force Vomit","Force Vomit","Force Vomit","Force Vomit","Рвота","Force Vomit","Force Vomit","Force Vomit","Force Vomit","Forcer le Vomissement","Force Vomit","Force Vomit","Force Vomit","强制呕吐"
"VSTR_LBL_GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","ГМ","GODMODE","GODMODE","GODMODE","GODMODE","GodMode ","GODMODE","GODMODE","GODMODE","无敌"
"VSTR_LBL_UNLIM_AMMO","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Беск. БК","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Munitions Illimitées","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","无限弹药"
"VSTR_LBL_SET_INVIS","Set Invisibility","Set Invisibility","Set Invisibility","Set Invisibility","Невидимость","Set Invisibility","Set Invisibility","Set Invisibility","Set Invisibility","Définir l'Invisibilité","Set Invisibility","Set Invisibility","Set Invisibility","隐身"
"VSTR_LBL_FREEZE_PLAYER","FREEZE","FREEZE","FREEZE","FREEZE","Заморозить","FREEZE","FREEZE","FREEZE","FREEZE","GELER","FREEZE","FREEZE","FREEZE","定住"
"VSTR_LBL_USER_GROUP","User Group:","User Group:","User Group:","User Group:","Группа:","User Group:","User Group:","User Group:","User Group:","Groupe d'Utilisateurs :","User Group:","User Group:","User Group:","用户组:"
"VSTR_LBL_COPY_INFO","Copy Information","Copy Information","Copy Information","Copy Information","Копировать в буфер","Copy Information","Copy Information","Copy Information","Copy Information","Copier les Informations","Copy Information","Copy Information","Copy Information","复制详情"
"VSTR_SERVER_MANAGER_TITLE","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","МЕНЕДЖЕР СЕРВЕРА","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","Gestionnaire de serveur","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","服务器管理"
"VSTR_LBL_ACTIVVITY_MAP","Activity Map","Activity Map","Activity Map","Activity Map","Карта активности","Activity Map","Activity Map","Activity Map","Activity Map","Carte d'Activité","Activity Map","Activity Map","Activity Map","活动地图"
"VSTR_LBL_SCRIPT_LOADER","Script Loader","Script Loader","Script Loader","Script Loader","Список скриптов","Script Loader","Script Loader","Script Loader","Script Loader","Chargeur de Script","Script Loader","Script Loader","Script Loader","脚本加载器"
"VSTR_LBL_REFRESH_LIST","Refresh List","Refresh List","Refresh List","Refresh List","Обновить","Refresh List","Refresh List","Refresh List","Refresh List","Rafraîchir la Liste","Refresh List","Refresh List","Refresh List","刷新列表"
"VSTR_LBL_WRITE","Write","Write","Write","Write","Записать","Write","Write","Write","Write","Écrire","Write","Write","Write","写入"
"VSTR_LBL_VIEW","View","View","View","View","Посмотреть","View","View","View","View","Voir","View","View","View","视图"
"VSTR_LBL_LOAD","Load","Load","Load","Load","Загрузить","Load","Load","Load","Load","Charger","Load","Load","Load","加载"
"VSTR_LBL_RELEASE","Release","Release","Release","Release","Выгрузить","Release","Release","Release","Release","Libérer","Release","Release","Release","发布"
"VSTR_LBL_ADMIN_LOGIN","Admin Login","Admin Login","Admin Login","Admin Login","Админ Вход","Admin Login","Admin Login","Admin Login","Admin Login","Connexion Administrateur","Admin Login","Admin Login","Admin Login","管理员登录"
"VSTR_LBL_PASSWORD","Password:","Password:","Password:","Password:","Пароль:","Password:","Password:","Password:","Password:","Mot de Passe :","Password:","Password:","Password:","密码:"
"VSTR_LBL_SERVER_MONITOR","Server Status Monitor","Server Status Monitor","Server Status Monitor","Server Status Monitor","Статус сервера","Server Status Monitor","Server Status Monitor","Server Status Monitor","Server Status Monitor","Moniteur de Statut du Serveur","Server Status Monitor","Server Status Monitor","Server Status Monitor","服务器状态监控"
"VSTR_LBL_SERVER_FPS","Server FPS:","Server FPS:","Server FPS:","Server FPS:","FPS сервера:","Server FPS:","Server FPS:","Server FPS:","Server FPS:","FPS du Serveur :","Server FPS:","Server FPS:","Server FPS:","服务器FPS:"
"VSTR_LBL_ONLINE_PLAYERS","Online Players:","Online Players:","Online Players:","Online Players:","Онлайн:","Online Players:","Online Players:","Online Players:","Online Players:","Joueurs en Ligne :","Online Players:","Online Players:","Online Players:","在线玩家:"
"VSTR_LBL_SERVER_UPTIME","Server Up Time:","Server Up Time:","Server Up Time:","Server Up Time:","Сервер работает:","Server Up Time:","Server Up Time:","Server Up Time:","Server Up Time:","Temps de Fonctionnement du Serveur :","Server Up Time:","Server Up Time:","Server Up Time:","服务器启动时间:"
"VSTR_LBL_MEM_USED","Memory Used:","Memory Used:","Memory Used:","Memory Used:","Использование ОЗУ:","Memory Used:","Memory Used:","Memory Used:","Memory Used:","Mémoire Utilisée :","Memory Used:","Memory Used:","Memory Used:","使用内存:"
"VSTR_LBL_NETWORK_TRAFFIC","Network out Kbps:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Сеть ВЫГР, кбит/с:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Trafic Réseau Sortant Kbps :","Network out Kbps:","Network out Kbps:","Network out Kbps:","网络输出 Kbps:"
"VSTR_LBL_NETWORK_TRAFFIC2","Network In Kbps:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Сеть ЗАГР, кбит/с:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Trafic Réseau Entrant Kbps :","Network In Kbps:","Network In Kbps:","Network In Kbps:","网络 Kbps:"
"VSTR_LBL_ACTIVE_AI","Active AIs:","Active AIs:","Active AIs:","Active AIs:","Активных ИИ:","Active AIs:","Active AIs:","Active AIs:","Active AIs:","IA Actives :","Active AIs:","Active AIs:","Active AIs:","主动AI:"
"VSTR_LBL_REFRESH_ACTIVITY","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Обновить Активность","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Rafraîchir l'Activité","Refresh Activity","Refresh Activity","Refresh Activity","刷新活动"
"VSTR_LBL_AUTO_UPDATE_ACTIVITY","Auto Update Activity","Auto Update Activity","Auto Update Activity","Auto Update Activity","Авто обновл.","Auto Update Activity","Auto Update Activity","Auto Update Activity","Auto Update Activity","Mise à Jour Automatique de l'Activité","Auto Update Activity","Auto Update Activity","Auto Update Activity","自动更新活动"
"VSTR_LBL_RESTART_SERVER","Restart Server","Restart Server","Restart Server","Restart Server","Перезапустить","Restart Server","Restart Server","Restart Server","Restart Server","Redémarrer le Serveur","Restart Server","Restart Server","Restart Server","重启服务器"
"VSTR_LBL_LOCKSERVER","Lock Server","Lock Server","Lock Server","Lock Server","Закрыть","Lock Server","Lock Server","Lock Server","Lock Server","Verrouiller le Serveur","Lock Server","Lock Server","Lock Server","锁定服务器"
"VSTR_LBL_KILL_ALL_PLAYERS","Kick All Players","Kick All Players","Kick All Players","Kick All Players","Кикнуть всех","Kick All Players","Kick All Players","Kick All Players","Kick All Players","Expulser Tous les Joueurs","Kick All Players","Kick All Players","Kick All Players","踢出所有玩家"
"VSTR_LBL_RETURN_PLAYERS","RETURN","RETURN","RETURN","RETURN","Вернуть","RETURN","RETURN","RETURN","RETURN","Renvoyer","RETURN","RETURN","RETURN","返回"
"VSTR_TELEPORT_MANAGER_TITLE","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","ТЕЛЕПОРТ МЕНЕДЖЕР","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","Téléportation","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","传送管理器"
"VSTR_LBL_SAVED_POSITIONS","Saved Positions","Saved Positions","Saved Positions","Saved Positions","Сохраненные точки","Saved Positions","Saved Positions","Saved Positions","Saved Positions","Positions Enregistrées","Saved Positions","Saved Positions","Saved Positions","保存的位置"
"VSTR_LBL_ADD_NEW_POS","Add New Position","Add New Position","Add New Position","Add New Position","Создать новую","Add New Position","Add New Position","Add New Position","Add New Position","Ajouter Nouvelle Position","Add New Position","Add New Position","Add New Position","新增位置"
"VSTR_LBL_EDIT_SEL_POS","Edit Selected Position","Edit Selected Position","Edit Selected Position","Edit Selected Position","Редактировать","Edit Selected Position","Edit Selected Position","Edit Selected Position","Edit Selected Position","Éditer la Position Sélectionnée","Edit Selected Position","Edit Selected Position","Edit Selected Position","编辑所选位置"
"VSTR_LBL_DEL_SEL_POS","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Удалить выбранные","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Supprimer la Position(s) Sélectionnée(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","删除所选位置"
"VSTR_LBL_TP_TO_SEL_PLAYERS","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Телепорт выбранных игроков","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Téléporter le(s) Joueur(s) Sélectionné(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","传送所选玩家"
"VSTR_LBL_TP_TO_POS","Teleport to Position","Teleport to Position","Teleport to Position","Teleport to Position","Телепорт до точки","Teleport to Position","Teleport to Position","Teleport to Position","Teleport to Position","Téléporter à la Position","Teleport to Position","Teleport to Position","Teleport to Position","传送到指定位置"
"VSTR_LBL_NEW_TP_POS_ATTS","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","ПАРАМЕТРЫ ТОЧКИ","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NOUVEAUX ATTRIBUTS DE POSITION","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","新位置属性"
"VSTR_LBL_POS","Position:","Position:","Position:","Position:","Координаты:","Position:","Position:","Position:","Position:","Position :","Position:","Position:","Position:","坐标:"
"VSTR_WEATHER_MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","МЕНЕДЖЕР ПОГОДЫ","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","GESTIONNAIRE DE MÉTÉO","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","天气管理器"
"VSTR_LBL_PRESETS","Presets","Presets","Presets","Presets","Пресеты","Presets","Presets","Presets","Presets","Préréglages","Presets","Presets","Presets","预设"
"VSTR_LBL_INFORMATION","Information","Information","Information","Information","Информация","Information","Information","Information","Information","Information","Information","Information","Information","信息"
"VSTR_LBL_TIME","Time:","Time:","Time:","Time:","Время:","Time:","Time:","Time:","Time:","Heure :","Time:","Time:","Time:","时间:"
"VSTR_LBL_DATE","Date:","Date:","Date:","Date:","Дата:","Date:","Date:","Date:","Date:","Date :","Date:","Date:","Date:","日期:"
"VSTR_LBL_RAIN","Rain:","Rain:","Rain:","Rain:","Дождь:","Rain:","Rain:","Rain:","Rain:","Pluie :","Rain:","Rain:","Rain:","雨:"
"VSTR_LBL_OVERCAST","Overcast:","Overcast:","Overcast:","Overcast:","Облачность:","Overcast:","Overcast:","Overcast:","Overcast:","Couvert :","Overcast:","Overcast:","Overcast:","阴天:"
"VSTR_LBL_FOG","Fog:","Fog:","Fog:","Fog:","Туман:","Fog:","Fog:","Fog:","Fog:","Brouillard :","Fog:","Fog:","Fog:","雾:"
"VSTR_LBL_WIND_FORCE","Wind Force:","Wind Force:","Wind Force:","Wind Force:","Ветер:","Wind Force:","Wind Force:","Wind Force:","Wind Force:","Force du Vent :","Wind Force:","Wind Force:","Wind Force:","风力:"
"VSTR_LBL_WORLD_TIME","World Time","World Time","World Time","World Time","Время мира","World Time","World Time","World Time","World Time","Temps Mondial","World Time","World Time","World Time","世界时间"
"VSTR_LBL_HOUR","Hour:","Hour:","Hour:","Hour:","Час:","Hour:","Hour:","Hour:","Hour:","Heure :","Hour:","Hour:","Hour:","时:"
"VSTR_LBL_MINUTE","Minute:","Minute:","Minute:","Minute:","Минута:","Minute:","Minute:","Minute:","Minute:","Minute :","Minute:","Minute:","Minute:","分:"
"VSTR_LBL_DAY","Day:","Day:","Day:","Day:","День:","Day:","Day:","Day:","Day:","Jour :","Day:","Day:","Day:","日:"
"VSTR_LBL_MONTH","Month:","Month:","Month:","Month:","Месяц:","Month:","Month:","Month:","Month:","Mois :","Month:","Month:","Month:","月:"
"VSTR_LBL_YEAR","Year:","Year:","Year:","Year:","Год:","Year:","Year:","Year:","Year:","Année :","Year:","Year:","Year:","年:"
"VSTR_LBL_APPLY_PRESET","Apply Preset","Apply Preset","Apply Preset","Apply Preset","Применить","Apply Preset","Apply Preset","Apply Preset","Apply Preset","Appliquer le Préréglage","Apply Preset","Apply Preset","Apply Preset","应用预设"
"VSTR_LBL_USE_CURRENT_TIME","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Текущее время","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Utiliser l'Heure Actuelle","Use Current Time","Use Current Time","Use Current Time","使用当前时间"
"VSTR_LBL_DELETE_W_PRESET","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Удалить пресет","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Supprimer le Préréglage","Delete Preset","Delete Preset","Delete Preset","删除预设"
"VSTR_LBL_ENTER_NAME","Enter Name","Enter Name","Enter Name","Enter Name","Имя пресета","Enter Name","Enter Name","Enter Name","Enter Name","Entrer le Nom","Enter Name","Enter Name","Enter Name","输入名字"
"VSTR_LBL_WEATHER_CONFG","Weather Configuration","Weather Configuration","Weather Configuration","Weather Configuration","Параметры Погоды","Weather Configuration","Weather Configuration","Weather Configuration","Weather Configuration","Configuration Météo","Weather Configuration","Weather Configuration","Weather Configuration","天气配置"
"VSTR_LBL_RATE_OF_CHANGE","Rate Of Change:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Скорость изменения:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Taux de Changement :","Rate Of Change:","Rate Of Change:","Rate Of Change:","变化率:"
"VSTR_LBL_DURATION","Duration:","Duration:","Duration:","Duration:","Длительность:","Duration:","Duration:","Duration:","Duration:","Durée :","Duration:","Duration:","Duration:","持续时间:"
"VSTR_WEB_HOOKS_MANAGER_TITLE","WebHooks Manager","WebHooks Manager","WebHooks Manager","WebHooks Manager","МЕНЕДЖЕР ВебХуков","WebHooks Manager","WebHooks Manager","WebHooks Manager","WebHooks Manager","Gestionnaire de WebHooks","WebHooks Manager","WebHooks Manager","WebHooks Manager","网络钩子理器"
"VSTR_LBL_WEBHOOKS","WebHooks","WebHooks","WebHooks","WebHooks","ВебХуки","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","网络钩子"
"VSTR_LBL_WEBHOOKS_ATTS","WebHook Attributes","WebHook Attributes","WebHook Attributes","WebHook Attributes","Параметры ВебХука","WebHook Attributes","WebHook Attributes","WebHook Attributes","WebHook Attributes","Attributs de WebHook","WebHook Attributes","WebHook Attributes","WebHook Attributes","网络钩子属性"
"VSTR_LBL_SEND_DEATH_LOGS","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Логи Убийств/Смертей","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Envoyer les journaux de Kill / Mort","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","发送杀戮/死亡日志"
"VSTR_LBL_SIMPLIFIED_LOGS","Simplified message format","Simplified message format","Simplified message format","Simplified message format","Упрощенный формат сообщений","Simplified message format","Simplified message format","Simplified message format","Simplified message format","Format de message simplifié","Simplified message format","Simplified message format","Simplified message format","简化的消息格式"
"VSTR_LBL_SEND_ADMIN_LOGS","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Логи Администраторов","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Envoyer les journaux d'activité Admin","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","发送管理员活动日志"
